url,brand,model,ram,rom,battery,network,sim,warranty_months,discount,price,location,image_url
https://www.lazada.vn/products/pdp-i3078973715.html,Unknown,,,,10600mAh,,,0,65,916300,Quảng Bình,https://img.lazcdn.com/g/p/9fa8e3c283eaa99c8132adccfe44f863.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078968842.html,Unknown,,,,,,,0,65,811300,Quảng Bình,https://img.lazcdn.com/g/p/3044e756ab9ee3bef13162d3d04a2b48.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078965824.html,Unknown,,,,23800 mAh,,,0,65,986300,Quảng Bình,https://img.lazcdn.com/g/p/28bcd5b0fedd6364f660f0ca0281250c.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078954899.html,Samsung,z fold 5,,,,,,0,65,1120000,Quảng Bình,https://img.lazcdn.com/g/p/6e1e3696a85a2b650580f645ba8f2fc7.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078951760.html,Redmi,note 11 pro,,,,,2,0,65,560000,Quảng Bình,https://img.lazcdn.com/g/p/a4a317aaa363f909b0125c001e29efa0.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078941846.html,Unknown,,,,23800mAh,5G,,0,65,1021300,Quảng Bình,https://img.lazcdn.com/g/p/a254e8c1c4db9d911c883a740dcc418f.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078936881.html,Xiaomi,15 utra c,,,,,,0,65,1120000,Quảng Bình,https://img.lazcdn.com/g/p/e1b036f4d90d6246add04aa67b41a053.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078935861.html,Redmi,note 13pr,8GB,128GB,5000 mAh,,,0,65,840000,Quảng Bình,https://img.lazcdn.com/g/p/0ae58627d8a42f5390b5278cd0d5a660.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078931852.html,OPPO,ffind n3 flip,12GB,256GB,,,,0,65,1050000,Quảng Bình,https://img.lazcdn.com/g/p/72387abcc588df9763079c9cc69ef2fc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078900923.html,Unknown,,,,,,,0,65,916300,Quảng Bình,https://img.lazcdn.com/g/p/448bed97859c0571ae5441068be0aa82.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3078146223.html,Samsung,galaxy s24 i,,,,,,0,0,30490000,Hồ Chí Minh,https://img.lazcdn.com/g/p/106a66b99e40f024740343beed173546.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077890246.html,Unknown,,,,21000mAh,,,0,50,959000,Bình Thuận,https://img.lazcdn.com/g/p/5c38be3cbe7e4ccfbf3e77a84fc4878d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077844263.html,Unknown,,,,,,,0,47,1196810,Hà Nội,https://img.lazcdn.com/g/p/86d1d5ec29b2f7148d415187b59f04d5.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077832389.html,Redmi,note 12,8GB,128GB,5000 mAh,,,0,50,800000,Bình Thuận,https://img.lazcdn.com/g/p/007c3af28afea99fb048a87be68d07c9.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077807455.html,Samsung,a32 m y,,,,,2,0,50,800000,Bình Thuận,https://img.lazcdn.com/g/p/724767a6ee1a8450f63d74b616647f8d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077781548.html,Samsung,m51,,,,,2,0,50,700000,Bình Thuận,https://img.lazcdn.com/g/p/09690e5a3d594637b503730822509ecc.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077780476.html,Unknown,,,,,,,0,48,1447905,Hà Nội,https://img.lazcdn.com/g/p/21bada6de5d2ff1110a2fee017b7e6dd.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077732679.html,Samsung,a72,,,,5G,,0,50,820000,Bình Thuận,https://img.lazcdn.com/g/p/5902f9c37479817cea7fcb870f00bb93.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077108165.html,Unknown,,,,,5G,,0,48,1028658,Hà Nội,https://img.lazcdn.com/g/p/d7ab13b8de54802197dcb1afd9910c58.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077104045.html,Samsung,22ut m y,,,,,2,0,50,1200000,An Giang,https://img.lazcdn.com/g/p/549fc3fa7ee835d11af459d03d8cbd37.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077102080.html,Xiaomi,13 utra c,,,,,,0,50,1200000,An Giang,https://img.lazcdn.com/g/p/9f7e6b4f58058bbdcdf56da994529595.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077081082.html,Unknown,,,,21000mAh,,,0,50,959000,An Giang,https://img.lazcdn.com/g/p/5c38be3cbe7e4ccfbf3e77a84fc4878d.jpg_200x200q80.avif
https://www.lazada.vn/products/pdp-i3077002483.html,OPPO,ffind x8 pro,12GB,256GB,,,,0,50,1500000,An Giang,https://img.lazcdn.com/g/p/0bcdfbf785cea87ae8ed481d946d566c.jpg_200x200q80.avif
